training, validation, test
[0.9044140625],[0.5931],0.5806
[0.912949609375],[0.639],0.6343
[0.915859765625],[0.6399],0.6349
[0.9179375],[0.6357],0.6265
[0.919362109375],[0.6277],0.6226
[0.904291796875],[0.6458],0.6405
[0.91339609375],[0.6324],0.6258
[0.91608984375],[0.6303],0.6256
[0.91797265625],[0.6254],0.6216
[0.91953359375],[0.6306],0.6247
[0.904458984375],[0.6277],0.6215
[0.913386328125],[0.6476],0.6387
[0.9160140625],[0.6384],0.6323
[0.91800546875],[0.646],0.6376
[0.919512890625],[0.644],0.6349
[0.904983203125],[0.6258],0.6167
[0.91338203125],[0.624],0.6164
[0.91615859375],[0.6189],0.6158
[0.918027734375],[0.6462],0.6408
[0.919658984375],[0.6453],0.639
[0.90454375],[0.6351],0.6277
[0.9135296875],[0.6255],0.6211
[0.91640546875],[0.634],0.6324
[0.91810703125],[0.6225],0.6147
[0.919845703125],[0.6386],0.6316
[0.904871875],[0.6336],0.6316
[0.913437890625],[0.6249],0.6215
[0.916266015625],[0.6337],0.6258
[0.918434765625],[0.6305],0.6236
[0.919790234375],[0.6328],0.6248
[0.90453046875],[0.631],0.6273
[0.9137421875],[0.6302],0.6242
[0.91655625],[0.6166],0.6124
[0.91845234375],[0.6313],0.6293
[0.919973046875],[0.6351],0.6272
[0.9047828125],[0.6351],0.6341
[0.913292578125],[0.6268],0.6255
[0.91649140625],[0.6233],0.6178
[0.918517578125],[0.6277],0.6263
[0.919958203125],[0.6342],0.6275
[0.905048828125],[0.6415],0.6399
[0.91394765625],[0.6088],0.6082
[0.9166265625],[0.6473],0.6424
[0.918503125],[0.6329],0.6289
[0.920098046875],[0.632],0.6253
[0.9050671875],[0.6392],0.6328
[0.91375703125],[0.644],0.6417
[0.916583984375],[0.6241],0.619
[0.91875],[0.6367],0.6307
[0.920182421875],[0.6362],0.6312
[0.905021875],[0.6461],0.6411
[0.913969921875],[0.6233],0.6211
[0.916634765625],[0.6451],0.6434
[0.91853125],[0.6428],0.635
[0.9203046875],[0.6259],0.6212
[0.905057421875],[0.6234],0.6152
[0.913796875],[0.6305],0.6231
[0.916600390625],[0.658],0.6513
[0.918761328125],[0.6402],0.6362
[0.9202234375],[0.6293],0.6211
[0.904945703125],[0.6237],0.6168
[0.913925],[0.6308],0.6273
[0.9170375],[0.6277],0.6173
[0.9187890625],[0.6329],0.6237
[0.92048671875],[0.6358],0.6322
[0.90503671875],[0.625],0.6183
[0.913991796875],[0.6284],0.627
[0.916807421875],[0.6187],0.6109
[0.9190359375],[0.6294],0.6186
[0.920585546875],[0.6475],0.6435
[0.905223046875],[0.6196],0.613
[0.9137359375],[0.6388],0.628
[0.916782421875],[0.625],0.6194
[0.918954296875],[0.6321],0.629
[0.92044140625],[0.6436],0.644
[0.905453515625],[0.6415],0.6317
[0.914182421875],[0.643],0.6373
[0.917057421875],[0.6326],0.6241
