training, validation, test
0.9245046875,0.6414,0.6324
0.92506796875,0.6279,0.6237
0.925539453125,0.6263,0.6279
0.926136328125,0.6367,0.6272
0.923780078125,0.6265,0.6246
0.9246234375,0.63,0.624
0.925277734375,0.6155,0.6117
0.92582734375,0.6298,0.6272
0.926390234375,0.6345,0.6265
0.923701953125,0.6305,0.6245
0.924653515625,0.6307,0.6277
0.9254953125,0.6389,0.6335
0.925624609375,0.6212,0.6172
0.926403515625,0.627,0.6233
0.9242953125,0.6446,0.6359
0.925062109375,0.6282,0.6225
0.9256796875,0.633,0.6298
0.92611953125,0.6327,0.6268
0.926508203125,0.6345,0.6313
0.92410859375,0.6322,0.6257
0.9252546875,0.6355,0.6303
0.925615234375,0.6406,0.6352
0.926221484375,0.6281,0.6224
0.926896875,0.6409,0.6294
0.924332421875,0.6436,0.6369
0.925162109375,0.6338,0.6266
0.925852734375,0.636,0.631
0.926342578125,0.6329,0.6253
0.92667734375,0.6324,0.6247
0.9246703125,0.6244,0.6181
0.925230078125,0.6395,0.6324
0.92592578125,0.6384,0.6357
0.926623046875,0.635,0.6282
0.926971484375,0.6218,0.6119
